Titles,Genre,Imdb_ratings,Tv-Ratings,runtime,Director,Years
Ponniyin Selvan: Part I,"Drama, Kids & Family, Fantasy, History, Action & Adventure",7.7,N/A,2h 47min,Mani Ratnam,2022
Chasing Happiness,"Music & Musical, Documentary",7.7,N/A,1h 36min,John Lloyd Taylor,2019
The Elevator,"Drama, Horror",N/A,N/A,1h 28min,Toni V. Genov,2021
Belle Vie,"Documentary, Drama, Comedy",7.2,N/A,1h 17min,Marcus Mizelle,2022
Held for Ransom,"Drama, War & Military, Made in Europe",7.6,N/A,2h 18min,Niels Arden Oplev,2019
Favor,Mystery & Thriller,6.3,N/A,1h 42min,Paul Osborne,2013
El Susto,Documentary,8.9,N/A,1h 15min,N/A,2019
Eddie Izzard: Wunderbar,Comedy,6.6,N/A,1h 18min,Sarah Townsend,2021
No Man's Land,"Drama, Mystery & Thriller, Western, Action & Adventure",5.4,PG-13,1h 55min,Conor Allyn,2021
In Dubious Battle,"Drama, History, Mystery & Thriller, Western, Crime",6.0,R,1h 50min,James Franco,2016
Drishyam 2,"Mystery & Thriller, Crime, Drama",8.2,N/A,2h 22min,Abhishek Pathak,2022
Hotel Transylvania: Transformania,"Animation, Comedy, Kids & Family, Fantasy, Action & Adventure, Horror, Science-Fiction, Romance",6.0,PG,1h 27min,Derek Drymon,2022
Catch Hell,"Mystery & Thriller, Drama, Crime, Horror",5.4,N/A,1h 38min,Ryan Phillippe,2014
Charm City,Documentary,7.4,N/A,1h 46min,Marilyn Ness,2018
"Juliet, Naked","Drama, Music & Musical, Romance, Comedy",6.6,R,1h 37min,Jesse Peretz,2018
Havenhurst,"Horror, Mystery & Thriller",4.8,N/A,1h 20min,Andrew C. Erin,2016
Bingo Hell,"Mystery & Thriller, Horror, Fantasy, Comedy",4.3,N/A,1h 25min,Gigi Saul Guerrero,2021
The Addams Family 2,"Comedy, Horror, Science-Fiction, Romance, Animation, Kids & Family, Fantasy",5.4,PG,1h 33min,Greg Tiernan,2021
Gabe,Documentary,8.8,N/A,1h 10min,Luke Terrell,2017
No Men Beyond This Point,"Drama, Comedy, Science-Fiction",6.3,N/A,1h 20min,Mark Sawers,2015
Lust,"Mystery & Thriller, Horror, Made in Europe",3.9,N/A,1h 24min,Severin Eskeland,2017
The Only Living Boy in New York,Drama,6.3,R,1h 29min,Marc Webb,2017
Mr. Kaplan,"Drama, Comedy, Made in Europe, Mystery & Thriller",6.5,N/A,1h 38min,Álvaro Brechner,2014
When Are You Moving Out?,Comedy,6.0,N/A,1h 27min,Dan Hasson,2022
Deathgrip,"Documentary, Sport",6.3,N/A,53min,Clay Porter,2017
Days of the Bagnold Summer,"Comedy, Drama, Music & Musical",6.5,N/A,1h 26min,Simon Bird,2020
Copperhead,Drama,5.6,PG,2h 0min,Ronald F. Maxwell,2013
The Asian Connection,"Crime, Action & Adventure, Drama, Mystery & Thriller",3.2,R,1h 31min,Daniel Zirilli,2016
Gordon Lightfoot: If You Could Read My Mind,"Documentary, Music & Musical",7.7,N/A,1h 28min,Martha Kehoe,2019
Keepers of the Magic,"Documentary, Made in Europe",7.4,N/A,1h 18min,Vic Sarin,2016
Devil's Island,Horror,N/A,N/A,1h 11min,Taylor King,2021
Goodnight Mommy,"Drama, Mystery & Thriller, Horror, Crime",5.6,R,1h 31min,Matt Sobel,2022
Killers,"Mystery & Thriller, Crime, Drama, Horror, Action & Adventure",6.4,R,2h 17min,Timo Tjahjanto,2014
Haymaker,"Drama, Action & Adventure",4.0,N/A,1h 23min,Nick Sasso,2021
The Gardener,Documentary,7.2,N/A,1h 25min,Sébastien Chabot,2017
A Living Dog,"Mystery & Thriller, Action & Adventure, Science-Fiction",5.2,N/A,1h 34min,Daniel Raboldt,2019
Effigy: Poison and the City,"Mystery & Thriller, Crime, History",7.1,PG-13,1h 25min,Udo Flohr,2020
They Call Us Monsters,Documentary,7.0,N/A,1h 22min,Ben Lear,2016
The Darkness,Horror,2.9,N/A,1h 35min,Tharun Mohan,2021
Love and Love Not,"Romance, Comedy, Drama",6.4,N/A,1h 44min,Anthony Cally,2022
My True Fairytale,"Drama, Mystery & Thriller",5.8,N/A,1h 26min,D. Mitry,2021
I Am Watching You,"Mystery & Thriller, Romance",4.6,N/A,1h 30min,Maureen Bharoocha,2016
Joy Ride,"Documentary, Comedy",7.1,PG-13,1h 10min,N/A,2021
Allure,"Mystery & Thriller, Drama, Romance, Horror",5.1,N/A,1h 44min,Carlos Sanchez,2018
Wraith,"Horror, Mystery & Thriller",3.4,PG-13,1h 39min,Michael O. Sajbel,2017
Come to Harm,"Drama, Mystery & Thriller",7.1,N/A,1h 50min,Anton Kristensen,2022
Mind and Machine,"Mystery & Thriller, Science-Fiction, Crime, Documentary, Made in Europe",3.2,R,1h 10min,Brock Humphrey,2017
The Lady Vanishes,"Mystery & Thriller, Horror, Drama",6.1,N/A,1h 26min,Diarmuid Lawrence,2013
Mind Games,"Mystery & Thriller, Action & Adventure, Horror",3.0,R,1h 39min,Jake Jalbert,2021
Book of Love,"Comedy, Romance",5.5,N/A,1h 46min,Analeine Cal y Mayor,2022
Suicide Note,Mystery & Thriller,4.5,N/A,1h 25min,Jake Helgren,2016
American Animals,"Crime, Documentary, Drama, Mystery & Thriller, History",7.0,R,1h 57min,Bart Layton,2018
Norman,"Mystery & Thriller, Science-Fiction",3.7,N/A,1h 45min,Joel Guelzo,2021
Higher Love,Documentary,7.8,N/A,1h 18min,Hasan Oswald,2020
Forever's End,"Mystery & Thriller, Drama",4.7,PG-13,1h 32min,J.C. Schroder,2013
Alice Fraser: Ethos,Comedy,N/A,N/A,58min,Barry Castagnola,2019
Take Care,"Drama, Romance, Comedy",6.1,N/A,1h 34min,Liz Tuccillo,2014
Dirt Music,"Drama, Romance, Mystery & Thriller, Crime",5.4,PG-13,1h 45min,Gregor Jordan,2020
Anatomy of a Love Seen,"Drama, Romance",4.7,N/A,1h 20min,Marina Rice Bader,2014
15 Minutes of War,"Drama, Action & Adventure, History, War & Military, Made in Europe",6.4,N/A,1h 38min,Fred Grivois,2019
Overdose,"Action & Adventure, Crime, Mystery & Thriller",5.7,N/A,1h 59min,Olivier Marchal,2022
Two 4 One,"Comedy, Drama",5.6,PG-13,1h 20min,Maureen Bradley,2014
At Night Comes Wolves,"Drama, Mystery & Thriller, Horror, Science-Fiction",2.3,N/A,1h 16min,Tj Marine,2021
Copperman,"Drama, Made in Europe",6.0,N/A,1h 35min,Eros Puglielli,2019
Randy Rhoads: Reflections of a Guitar Icon,"Music & Musical, Documentary",7.1,N/A,1h 25min,Andre Relis,2022
Black as Night,"Horror, Mystery & Thriller, Drama",4.4,N/A,1h 27min,Maritte Lee Go,2021
Rocketry: The Nambi Effect,"Drama, Action & Adventure, Science-Fiction",8.8,N/A,2h 34min,R. Madhavan,2022
Miles Jupp: Is The Chap You're Thinking Of,Comedy,N/A,N/A,1h 42min,N/A,2015
Authors Anonymous,Comedy,4.4,PG-13,1h 32min,Ellie Kanner,2014
A Wife's Nightmare,"Mystery & Thriller, Drama, Romance, Crime, Horror",5.8,N/A,1h 25min,Vic Sarin,2014
Daniel Isn't Real,"Horror, Drama, Fantasy, Mystery & Thriller, Crime",6.1,N/A,1h 40min,Adam Egypt Mortimer,2019
Rammstein: Paris,Music & Musical,7.9,N/A,1h 38min,Jonas Åkerlund,2017
Transit,"Drama, Science-Fiction, Made in Europe",6.9,N/A,1h 41min,Christian Petzold,2018
Breath,"Drama, Mystery & Thriller",4.5,N/A,1h 46min,John Real,2022
Giant Little Ones,Drama,7.2,R,1h 33min,Keith Behrman,2019
Time Now,"Drama, Mystery & Thriller",3.7,N/A,1h 30min,Spencer King,2021
Valley Uprising,"Action & Adventure, Documentary, History",8.1,N/A,1h 39min,Josh Lowell,2014
Ten Tricks,"Comedy, Drama",5.6,N/A,1h 28min,Richard Pagano,2022
Leona,Drama,6.8,R,1h 35min,Isaac Cherem,2018
Rumble: The Indians Who Rocked the World,"Music & Musical, Documentary",7.8,N/A,1h 43min,Catherine Bainbridge,2017
Unspeakable,Drama,5.8,N/A,47min,David Nath,2017
Searching for Augusta,Documentary,N/A,PG,1h 14min,N/A,2014
Benjamin,"Comedy, Drama",3.3,R,1h 25min,Bob Saget,2019
Babysitter Must Die,"Horror, Comedy, Mystery & Thriller",4.2,PG,1h 12min,Kohl Glass,2021
8 Days to Hell,Horror,3.2,N/A,1h 25min,Shane Woodson,2022
The Wolf Hour,"Mystery & Thriller, Drama",4.9,R,1h 39min,Alistair Banks Griffin,2019
Wonderstruck,Drama,6.2,PG,1h 55min,Todd Haynes,2017
Alone Yet Not Alone,"Drama, Action & Adventure, History, Romance, War & Military",4.7,PG-13,1h 43min,Ray Bengston,2013
Blurred Lines: Inside the Art World,Documentary,6.4,N/A,1h 24min,Barry Avrich,2017
The Haunting of Helena,"Mystery & Thriller, Horror, Made in Europe",4.6,N/A,1h 27min,Christian Bisceglia,2013
Putham Pudhu Kaalai,"Kids & Family, Drama",6.8,N/A,2h 9min,Gautham Vasudev Menon,2020
The Changeover,"Mystery & Thriller, Horror, Fantasy",5.4,PG-13,1h 35min,Miranda Harcourt,2017
Eternal Beauty,"Comedy, Drama, Romance",6.3,R,1h 35min,Craig Roberts,2020
Break,Drama,N/A,N/A,1h 45min,Anthony Diaz V,2022
The Falling World,Drama,4.6,N/A,1h 30min,Jaclyn Bethany,2022
Heropanti 2,"Drama, Comedy, Crime, Romance, Action & Adventure",2.5,N/A,2h 22min,Ahmed Khan,2022
Madha,Mystery & Thriller,5.1,N/A,1h 45min,Srividya Basawa,2020
The Women's Balcony,"Drama, Comedy",6.6,N/A,1h 36min,Emil Ben-Shimon,2016
The Love Punch,"Drama, Comedy, Romance, Made in Europe",5.7,PG-13,1h 35min,Joel Hopkins,2014
Jasper Mall,Documentary,N/A,N/A,1h 24min,Brett Whitcomb,2020
Desconectados,Comedy,4.5,N/A,1h 46min,Diego Rougier,2022
Sender,"Science-Fiction, Mystery & Thriller",3.7,N/A,1h 50min,Anthony Arkin,2020
Sharks of the Corn,Horror,1.8,N/A,1h 45min,Tim Ritter,2021
Samaritan,"Science-Fiction, Fantasy, Action & Adventure, Drama",5.7,PG-13,1h 42min,Julius Avery,2022
10,Sport,7.0,N/A,2h 4min,N/A,2022
The Courier,"Drama, History, Mystery & Thriller, War & Military",7.2,PG-13,1h 52min,Dominic Cooke,2020
Calm Like a Bomb,Action & Adventure,2.2,R,1h 22min,Mauro Russo Rouge,2021
The Nest,"Horror, Mystery & Thriller, Drama",3.3,N/A,1h 40min,Gracjana Piechula,2021
Pink: All I Know So Far,"Music & Musical, Documentary",7.8,N/A,1h 39min,Michael Gracey,2021
Brutus vs Cesar,Comedy,3.6,N/A,1h 27min,Kheiron,2020
Redeeming Love,"Romance, History, Kids & Family, Drama",6.7,PG-13,2h 9min,D. J. Caruso,2022
Hotel Limbo,"Comedy, Drama, Romance",4.2,N/A,1h 30min,Martina Adamcová,2020
Ryde,"Mystery & Thriller, Horror, Crime",5.1,R,1h 24min,Brian Frank Visciglia,2017
The Isle,"Fantasy, Horror, Mystery & Thriller, Action & Adventure",4.9,N/A,1h 36min,Matthew Butler,2019
Malicious,"Mystery & Thriller, Horror",5.0,N/A,1h 35min,Michael Winnick,2018
Colewell,Drama,6.3,N/A,1h 19min,Tom Quinn,2019
The Mystery of Her,Drama,6.0,N/A,1h 48min,Nicholas DiBella,2022
Through The Shadow,"Mystery & Thriller, Horror",5.1,N/A,1h 45min,Walter Lima Jr.,2015
Burying Yasmeen,Comedy,5.3,N/A,1h 13min,Phillip Clark Davis,2019
Jigsaw,"Mystery & Thriller, Horror, Crime, Fantasy, Action & Adventure, Drama",5.7,R,1h 31min,Michael Spierig,2017
The Willowbrook,Mystery & Thriller,3.2,N/A,1h 25min,Zach Koepp,2022
The Bra,"Drama, Comedy, Made in Europe",6.6,N/A,1h 30min,Veit Helmer,2019
The Way,"Drama, Action & Adventure",4.4,R,1h 30min,Khalili Dastan,2021
A Love You,"Comedy, Made in Europe, Romance",5.2,N/A,1h 30min,Paul Lefèvre,2015
A Man Named Scott,"Documentary, Music & Musical",7.7,N/A,1h 35min,Robert Alexander,2021
Say Your Prayers,"Comedy, Crime, Drama, Mystery & Thriller",5.3,N/A,1h 24min,Harry Michell,2021
Phil,"Drama, Comedy",5.4,R,1h 46min,Greg Kinnear,2019
An Eye for an Eye,Documentary,6.1,N/A,2h 0min,Ilan Ziv,2016
I Know That Voice,Documentary,7.4,N/A,1h 35min,Lawrence Shapiro,2014
A Christmas Carol,Drama,N/A,N/A,1h 30min,Jacqui Morris,2020
Unwanted Guest,"Mystery & Thriller, Drama",5.0,N/A,1h 26min,Fred Olen Ray,2016
Prisoners of the Sun,"Horror, Action & Adventure",3.7,N/A,1h 24min,Roger Christian,2013
Lost Inside,Drama,5.9,N/A,1h 35min,Jeff Hindenach,2022
Where's Rose,"Horror, Mystery & Thriller",4.7,N/A,1h 23min,John Mathis,2022
Fight For Space,Documentary,7.0,N/A,1h 32min,N/A,2016
Project Gutenberg,"Mystery & Thriller, Documentary, Action & Adventure, Crime",6.8,R,2h 10min,Brian Biegel,2018
Field of Lost Shoes,"Drama, Action & Adventure, War & Military",5.7,PG-13,1h 36min,Sean McNamara,2015
I Will Make You Mine,"Drama, Comedy",5.8,R,1h 20min,Lynn Chen,2020
In Search of Israeli Cuisine,Documentary,6.3,N/A,1h 37min,Roger Sherman,2016
Apache bleibt gleich,Documentary,6.6,N/A,1h 28min,Nepomuk V. Fischer,2022
Lured,Horror,3.8,N/A,1h 24min,Dawei Lee,2019
Judy & Punch,"Drama, Mystery & Thriller, Crime, Fantasy, Comedy",6.1,N/A,1h 45min,Mirrah Foulkes,2019
All Roads Lead to Rome,"Comedy, Drama, Romance, Made in Europe",4.9,PG-13,1h 30min,Ella Lemhagen,2016
The Mimic,"Horror, Mystery & Thriller",5.6,N/A,1h 40min,Huh Jung,2017
7 Splinters in Time,"Mystery & Thriller, Science-Fiction",3.5,N/A,1h 15min,Gabriel Judet-Weinshel,2018
Blacklight,"Drama, Mystery & Thriller, Action & Adventure",4.8,PG-13,1h 44min,Mark Williams,2022
Level 16,"Mystery & Thriller, Science-Fiction, Drama, Made in Europe",6.1,N/A,1h 42min,Danishka Esterhazy,2018
Slim & I,"Music & Musical, Documentary",8.0,PG,1h 46min,Kriv Stenders,2020
Journey to Royal: A WWII Rescue Mission,"War & Military, Documentary, History, Action & Adventure, Drama",6.1,N/A,1h 30min,Christopher Johnson,2021
I Love America,"Romance, Comedy",4.7,N/A,1h 42min,Lisa Azuelos,2022
Bryan Callen: Complicated Apes,Comedy,7.2,N/A,58min,Brian Volk-Weiss,2019
All Hallow's Eve,Kids & Family,4.9,N/A,1h 32min,Charlie Vaughn,2016
Soundtrack to Sixteen,"Comedy, Romance",5.8,N/A,1h 25min,Hillary Shakespeare,2020
Frantz,"Drama, Romance, War & Military, History, Made in Europe",7.5,PG-13,1h 53min,François Ozon,2016
Anuvab Pal: Alive at 40,Comedy,N/A,N/A,50min,Kunal Kamra,2017
The Legend of Barney Thomson,"Comedy, Drama, Crime",6.3,N/A,1h 30min,Robert Carlyle,2015
Transfert,"Mystery & Thriller, Drama, Made in Europe",6.2,N/A,1h 37min,Massimiliano Russo,2018
Clairevoyant,"Drama, Comedy",5.5,N/A,1h 30min,Micaela Wittman,2021
Iliza Shlesinger: War Paint,Comedy,6.6,N/A,1h 15min,Jay Chapman,2013
The Taking of Deborah Logan,"Horror, Mystery & Thriller",6.0,R,1h 31min,Adam Robitel,2014
One Remains,"Horror, Mystery & Thriller",3.2,N/A,1h 33min,Josh Hodgins,2019
Evil Everywhere,"Comedy, Fantasy, Horror, Mystery & Thriller",3.7,N/A,1h 4min,Mykee Morettini,2021
Wild Horses,"Mystery & Thriller, Drama, Western, Crime",4.8,R,1h 40min,Robert Duvall,2015
With A Kiss I Die,"Drama, Fantasy, Romance",4.5,N/A,1h 13min,Ronnie Khalil,2018
Savage State,"Western, Made in Europe",N/A,N/A,1h 56min,David Perrault,2020
Hawa,"Drama, Comedy, Kids & Family",5.0,N/A,1h 45min,Maïmouna Doucouré,2022
36 Husbands,Comedy,4.1,N/A,1h 23min,Michael Glover,2021
Unda,"Drama, Action & Adventure, Comedy, Mystery & Thriller",7.7,N/A,2h 10min,Khalid Rahman,2019
Fishbowl,"Drama, Mystery & Thriller",4.7,N/A,1h 25min,N/A,2020
Lady of the Manor,"Comedy, Fantasy",5.3,R,1h 36min,Christian Long,2021
Queen of Spades,Horror,3.7,N/A,1h 31min,Patrick White,2021
Band of Robbers,"Action & Adventure, Comedy, Crime, Mystery & Thriller",6.0,N/A,1h 35min,Aaron Nee,2016
Wintergast,"Drama, Made in Europe, Comedy",6.0,N/A,1h 22min,Matthias Günter,2015
Soorarai Pottru,"Drama, Action & Adventure",8.7,N/A,2h 29min,Sudha Kongara Prasad,2020
Stick Man,"Animation, Kids & Family",7.1,G,20min,Jeroen Jaspaert,2015
Emergency,"Mystery & Thriller, Drama, Comedy",6.2,R,1h 45min,Carey Williams,2022
Cabin 28,Horror,3.2,R,1h 20min,Andrew Jones,2017
Golden Voices,"Romance, Comedy, Drama",7.2,N/A,1h 28min,Evgeny Ruman,2020
Akron,"Drama, Romance",6.6,N/A,1h 28min,Brian O'Donnell,2015
The Murder of Nicole Brown Simpson,"Crime, Horror, Mystery & Thriller, Drama",2.5,R,1h 22min,Daniel Farrands,2019
Quintessentially British,Documentary,5.3,N/A,1h 37min,Frank Mannion,2022
Guns Akimbo,"Comedy, Crime, Mystery & Thriller, Action & Adventure",6.3,R,1h 35min,Jason Lei Howden,2020
Biffy Clyro: Cultural Sons of Scotland,"Music & Musical, Documentary",7.7,N/A,1h 6min,Jack Lowe,2022
F#Ck Nick Cannon,"Comedy, Documentary",3.7,R,1h 36min,Jay Chapman,2013
Naane Varuvean,"Action & Adventure, Mystery & Thriller, Horror, Drama",6.2,N/A,2h 2min,Selvaraghavan,2022
Division 19,"Mystery & Thriller, Action & Adventure, Science-Fiction",5.0,N/A,1h 33min,Suzie Halewood,2017
Murder on the Cape,"Drama, Crime, Mystery & Thriller",2.7,N/A,1h 35min,Arthur Egeli,2017
The Ghost and the Whale,"Mystery & Thriller, Drama",4.3,N/A,1h 45min,James Gaudioso,2017
What Lies West,Drama,5.4,N/A,1h 19min,Jessica Ellis,2019
The Flu,"Action & Adventure, Science-Fiction, Romance, Drama, Mystery & Thriller",6.6,R,2h 2min,Kim Sung-soo,2013
The Vast of Night,"Drama, Mystery & Thriller, Science-Fiction, Fantasy",6.7,PG-13,1h 31min,Andrew Patterson,2019
Midnight,"Mystery & Thriller, Crime",6.4,R,1h 43min,Kwon Oh-seung,2021
City of Ghosts,"War & Military, Documentary",7.4,R,1h 30min,Matthew Heineman,2017
Master,"Horror, Mystery & Thriller, Drama",5.2,R,1h 38min,Mariama Diallo,2022
C U Soon,"Drama, Mystery & Thriller",7.8,N/A,1h 38min,Mahesh Narayanan,2020
I Had A Bloody Good Time At House Harker,"Horror, Comedy, Action & Adventure",5.6,PG-13,1h 20min,Clayton Cogswell,2016
13 Cameras,"Horror, Drama, Mystery & Thriller, Crime",5.2,N/A,1h 27min,Victor Zarcoff,2015
The Birdcatcher,"Mystery & Thriller, Drama, War & Military, History, Made in Europe",5.8,N/A,1h 37min,Ross Clarke,2019
Open Your Eyes,"Horror, Mystery & Thriller, Drama",4.2,N/A,1h 39min,Greg A. Sager,2021
The Hunt,Horror,3.9,N/A,1h 32min,J.D. Cohen,2021
Creative Control,"Drama, Science-Fiction",5.4,R,1h 37min,Benjamin Dickinson,2016
End of Sentence,Drama,6.7,PG-13,1h 36min,Elfar Adalsteins,2019
Treasure Chest of Horrors 2,"Horror, Comedy, Mystery & Thriller",3.0,N/A,1h 22min,M. Kelley,2013
Margaret Cho: PsyCHO,"Comedy, Documentary",6.1,N/A,1h 21min,John Asher,2015
Trigger,"Action & Adventure, Drama",3.2,PG-13,1h 29min,Christopher Folkens,2016
The Weeknd x The Dawn FM Experience,Music & Musical,N/A,R,34min,Micah Bickham,2022
Hell Town,"Horror, Mystery & Thriller, Comedy",4.3,N/A,1h 29min,Elizabeth Spear,2015
Clifford the Big Red Dog,"Comedy, Kids & Family, Fantasy, Science-Fiction, Romance, Animation, Drama",5.9,PG,1h 35min,Walt Becker,2021
Buddymoon,Comedy,6.1,N/A,1h 20min,Alex Simmons,2016
Black Cop,"Drama, Crime",5.2,N/A,1h 31min,Cory Bowles,2017
Saul: The Journey to Damascus,"Drama, Made in Europe",6.0,N/A,1h 26min,Mario Philip Azzopardi,2014
Shylock,"Action & Adventure, Drama, Mystery & Thriller, Made in Europe",5.1,N/A,2h 10min,Ajai Vasudev,2020
D.L. Hughley: Clear,Comedy,6.8,N/A,59min,Jay Chapman,2014
Gully Boy,"Drama, Music & Musical, Romance",7.9,N/A,2h 33min,Zoya Akhtar,2019
Double Eagle Ranch,Comedy,5.2,N/A,1h 47min,Austyn Jeffs,2019
Honeymoon,"Horror, Science-Fiction, Romance, Mystery & Thriller, Drama, Fantasy",5.7,R,1h 28min,Leigh Janiak,2014
The Eagle's Nest,Mystery & Thriller,5.7,N/A,1h 30min,Olivier Assoua,2020
"Goodbye, Petrushka","Comedy, Drama, Romance, Fantasy",6.1,N/A,1h 37min,Nicola Rose,2022
Dancin' - It's On!,"Drama, Romance, Kids & Family",2.4,PG,1h 29min,David Winters,2015
"Henry Rollins: Keep Talking, Pal.",Comedy,6.5,N/A,58min,Brian Volk-Weiss,2018
Jamesy Boy,"Drama, Romance, Crime",6.2,N/A,1h 49min,Trevor White,2014
Blood of Redemption,"Mystery & Thriller, Drama, Action & Adventure, Crime",4.4,R,1h 25min,Giorgio Serafini,2013
The Ash Lad: In Search of the Golden Castle,"Fantasy, Kids & Family, Made in Europe",6.3,N/A,1h 39min,Mikkel Brænne Sandemose,2019
Avatara Purusha: Part 1,"Comedy, Romance, Fantasy, Horror, Mystery & Thriller",6.4,N/A,2h 8min,Suni,2022
Waffle Street,"Comedy, Drama",6.2,N/A,1h 26min,Ian Nelms,2015
Chasing Pavement,Drama,4.7,R,1h 22min,Matthew Doyle,2015
Stagrassle Paranormal,Comedy,8.0,N/A,1h 41min,N/A,2015
Who Am I Now?,"Drama, Romance",3.8,N/A,1h 32min,Louise E. Lathey,2021
The Neon Demon,"Horror, Mystery & Thriller, Drama, Made in Europe",6.2,R,1h 58min,Nicolas Winding Refn,2016
Jack Lantern,"Drama, Horror",6.1,N/A,1h 15min,Sophia Rivera,2017
The Day After Quarantine,Comedy,2.1,N/A,1h 0min,Puncho Villashio,2021
Sideboob,Comedy,4.5,N/A,1h 26min,N/A,2018
Unhuman,"Horror, Mystery & Thriller, Comedy",4.4,N/A,1h 27min,Marcus Dunstan,2022
Closed for Storm,Documentary,6.2,PG,1h 17min,Jake Williams,2020
Soul to Keep,"Horror, Mystery & Thriller",4.3,N/A,1h 34min,Moniere,2018
My Best Friend's Exorcism,"Horror, Comedy, Mystery & Thriller",5.3,R,1h 36min,Damon Thomas,2022
Reaching for the Moon,"Romance, Drama, History",6.9,N/A,1h 58min,Bruno Barreto,2013
Corona,"Drama, Mystery & Thriller",4.4,N/A,1h 3min,Mostafa Keshvari,2020
To Keep the Light,"Drama, History",6.3,N/A,1h 28min,Erica Fae,2016
Coming 2 America,Comedy,5.3,PG-13,1h 50min,Craig Brewer,2021
Country: Portraits of an American Sound,"Documentary, Music & Musical",7.3,N/A,1h 28min,Steven Kochones,2015
Desiree,"Mystery & Thriller, Drama, Crime",5.1,PG-13,1h 33min,Ross Clarke,2016
Delirium,"Mystery & Thriller, Horror",3.3,N/A,1h 26min,Johnny Martin,2018
Jackie & Ryan,"Drama, Kids & Family, Music & Musical, Romance",5.9,PG-13,1h 30min,Ami Canaan Mann,2014
Perfect Sisters,"Mystery & Thriller, Drama, Crime",5.5,N/A,1h 40min,Stanley M. Brooks,2014
Kevin Hart: Let Me Explain,"Comedy, Documentary",6.6,R,1h 15min,Leslie Small,2013
The Return of La Llorona,"Horror, Drama",3.7,N/A,1h 13min,N/A,2021
Nanny Cam,"Mystery & Thriller, Drama",5.4,N/A,1h 30min,Nancy Leopardi,2014
Diablo: The Utimate Race,"Action & Adventure, Made in Europe",4.0,N/A,1h 50min,Daniel Markowicz,2019
Samrat Prithviraj,"Action & Adventure, Drama, History, War & Military",5.8,PG-13,2h 15min,Dr. Chandraprakash Dwivedi,2022
The Time of Their Lives,Comedy,6.0,N/A,1h 45min,Roger Goldby,2017
Borealis,Documentary,7.3,N/A,1h 33min,Kevin McMahon,2020
Breakdown,"Mystery & Thriller, Horror",2.4,N/A,1h 32min,Thomas Haley,2020
Phantom,"Mystery & Thriller, History, War & Military, Drama",5.9,R,1h 37min,Todd Robinson,2013
FIR,"Mystery & Thriller, Action & Adventure",6.9,N/A,2h 36min,Manu Anand,2022
Quarantine Girl,"Mystery & Thriller, Horror",3.2,N/A,1h 1min,Gregory Hatanaka,2020
Dating Amber,"Comedy, Drama, Romance",7.0,N/A,1h 32min,David Freyne,2020
Them,"Science-Fiction, Mystery & Thriller",3.3,N/A,1h 24min,Ignacio Maiso,2021
Hell on the Border,Western,4.5,PG-13,1h 50min,Wes Miller,2019
The Rise of the Beast,Horror,N/A,N/A,1h 17min,Jack Ayers,2022
Below the Fold,"Mystery & Thriller, Drama",4.1,R,1h 32min,Clayton Scott,2021
Detective Byomkesh Bakshy!,"Drama, Mystery & Thriller, Action & Adventure, Crime",7.6,R,2h 19min,Dibakar Banerjee,2015
Sarpatta Parambarai,"Action & Adventure, Drama, Sport",8.5,N/A,2h 54min,Pa. Ranjith,2021
The Heiress,Horror,3.5,N/A,1h 23min,Chris Bell,2021
Lover,"Drama, Romance",6.8,N/A,2h 15min,Dilsher Singh,2022
Light in the Dark,"Mystery & Thriller, Drama",5.8,N/A,1h 45min,Ekene Som Mekwunye,2020
Next Time I'll Aim for the Heart,"Mystery & Thriller, Drama, Made in Europe, Crime",6.4,PG-13,1h 51min,Cédric Anger,2014
Orphan: First Kill,"Horror, Mystery & Thriller, Crime, Drama",5.9,R,1h 39min,William Brent Bell,2022
Benedict Arnold: Hero Betrayed,"Documentary, Drama, History",6.5,N/A,2h 5min,Chris Stearns,2021
Magic Mountains,"Crime, Drama, Mystery & Thriller",5.2,N/A,1h 21min,Urszula Antoniak,2020
Elephant Song,Drama,6.5,N/A,1h 50min,Charles Binamé,2014
Chiara Ferragni: Unposted,"Documentary, Made in Europe",4.1,G,1h 25min,Elisa Amoruso,2019
Three Pints and a Rabbi,"Fantasy, Mystery & Thriller",4.4,N/A,1h 13min,N/A,2021
The Eighth Clause,Mystery & Thriller,N/A,N/A,1h 20min,Koko Stambuk,2022
9/11: Minute by Minute,"Documentary, History",6.4,N/A,1h 4min,Piers Garland,2021
Anastasia: Once Upon a Time,"Fantasy, Kids & Family",2.9,PG,1h 29min,Blake Harris,2020
Tumbbad,"Horror, Fantasy, Mystery & Thriller, Drama, Made in Europe",8.2,N/A,1h 53min,Rahi Anil Barve,2018
Infinitum: Subject Unknown,"Mystery & Thriller, Science-Fiction",4.1,N/A,1h 26min,Matthew Butler-Hart,2021
Little Orphans,Drama,4.2,N/A,1h 19min,N/A,2020
Better Days: The Story of UK Rave,Documentary,N/A,N/A,31min,Hugo Jenkins,2021
All at Once,Drama,6.1,N/A,1h 52min,Jon Abrahams,2016
Ayar,"Science-Fiction, Drama, Mystery & Thriller",4.9,PG-13,1h 24min,Floyd Russ,2021
Raven's Touch,Drama,4.2,PG-13,1h 24min,Marina Rice Bader,2015
Two Ways Home,Drama,6.7,N/A,1h 32min,Ron Vignone,2020
What Haunts Us,Documentary,7.0,N/A,1h 12min,N/A,2017
