Title,genre,imdb,Tv-Rating,runtime,director,year
Uncanny Annie,Horror,N/A,N/A,1h 20min,Paul Davis,2019
The Nowhere Inn,"Drama, Music & Musical, Comedy, Mystery & Thriller, Horror",5.7,N/A,1h 32min,Bill Benz,2021
Cosmos,"Science-Fiction, Mystery & Thriller",6.0,N/A,2h 8min,Zander Weaver,2019
Totally Under Control,Documentary,7.7,N/A,2h 3min,Suzanne Hillinger,2020
Racetime,"Comedy, Animation",5.5,PG,1h 29min,François Brisson,2018
Some Kind of Heaven,Documentary,7.2,N/A,1h 23min,Lance Oppenheim,2021
New Order,"Drama, Mystery & Thriller, Crime, Science-Fiction",6.5,R,1h 28min,Michel Franco,2020
Anaïs in Love,"Comedy, Drama, Romance",6.5,N/A,1h 38min,Charline Bourgeois-Tacquet,2021
Cheap Thrills,"Comedy, Drama, Crime, Horror, Mystery & Thriller",6.7,N/A,1h 23min,Candra Aditya,2013
Together,"Comedy, Drama, Romance",6.2,R,1h 31min,Stephen Daldry,2021
Out Stealing Horses,"Drama, Made in Europe",6.5,N/A,2h 0min,Hans Petter Moland,2019
Among the Shadows,"Horror, Mystery & Thriller, Drama, Science-Fiction, Action & Adventure, Crime",2.1,N/A,1h 30min,Tiago Mesquita,2019
Wendy Williams: The Movie,Drama,5.5,PG-13,1h 28min,Darren Grant,2021
12 Dog Days Till Christmas,"Comedy, Drama, Kids & Family, Romance",4.7,N/A,1h 30min,Charlie Vaughn,2014
My Dad Is Scrooge,"Comedy, Kids & Family",4.4,N/A,1h 27min,Justin G. Dyck,2014
Safer at Home,"Horror, Mystery & Thriller, Crime, Drama",3.8,R,1h 22min,Will Wernick,2021
Third Person,"Drama, Romance, Made in Europe",6.3,R,2h 17min,Paul Haggis,2013
The Other Lamb,"Horror, Drama, Mystery & Thriller",5.3,N/A,1h 37min,Małgorzata Szumowska,2020
Clemency,Drama,6.5,R,1h 52min,Chinonye Chukwu,2019
March of the Penguins 2: The Next Step,"Documentary, Comedy, Drama, Kids & Family, Made in Europe",6.6,G,1h 25min,Luc Jacquet,2017
Spaceship Earth,Documentary,6.4,N/A,1h 55min,Matt Wolf,2020
Leave No Trace,Documentary,6.8,R,1h 48min,Irene Taylor Brodsky,2022
Deep in Vogue,"Music & Musical, Documentary",6.3,N/A,1h 1min,Dennis Keighron-Foster,2019
Crush,"Comedy, Romance",6.3,N/A,1h 32min,Sammi Cohen,2022
Sword Art Online: The Movie – Ordinal Scale,"Action & Adventure, Fantasy, Science-Fiction, Animation",N/A,PG-13,1h 59min,Tomohiko Ito,2017
The Secret Life of Marilyn Monroe,"Drama, Horror",1.6,N/A,4h 0min,Laurie Collyer,2015
She Dies Tomorrow,"Drama, Science-Fiction, Comedy, Fantasy, Horror, Mystery & Thriller",5.1,R,1h 25min,Amy Seimetz,2020
The World of Kanako,"Mystery & Thriller, Drama",6.5,N/A,1h 58min,Tetsuya Nakashima,2014
Ted Bundy: American Boogeyman,"History, Crime, Drama, Mystery & Thriller",3.8,N/A,1h 36min,Daniel Farrands,2021
Fyre Fraud,Documentary,6.8,N/A,1h 36min,Jenner Furst,2019
Girlfriends of Christmas Past,"Comedy, Romance",5.1,G,1h 32min,Jake Helgren,2016
Aftershock,Documentary,6.7,N/A,1h 26min,Tonya Lewis Lee,2022
Vanguard,"Mystery & Thriller, Action & Adventure, Comedy, Crime",4.7,PG-13,1h 47min,Stanley Tong,2020
Ottolenghi and the Cakes of Versailles,Documentary,6.0,N/A,1h 15min,Laura Gabbert,2020
The Tiger Rising,"Action & Adventure, Kids & Family",4.6,PG,1h 42min,Ray Giarratana,2022
The Connection,"Mystery & Thriller, Action & Adventure, Crime, Made in Europe",7.1,R,2h 15min,Cédric Jimenez,2014
Aileen Wuornos: American Boogeywoman,"Drama, Horror, Mystery & Thriller",3.8,R,1h 25min,Daniel Farrands,2021
The China Hustle,Documentary,7.2,R,1h 24min,Jed Rothstein,2018
A Christmas Switch,"Drama, Comedy, Kids & Family, Fantasy, Romance",6.0,N/A,1h 30min,Brian Herzlinger,2018
How to Train Your Dragon: Homecoming,"Animation, Fantasy, Action & Adventure, Comedy, Drama, Kids & Family",7.3,PG,1h 44min,Tim Johnson,2019
A Cinderella Christmas,"Romance, Comedy",6.2,G,1h 33min,Tosca Musk,2017
Every Other Holiday,"Romance, Drama, Kids & Family",6.9,N/A,1h 29min,Blair Hayes,2018
White Snake,"Animation, Fantasy, Action & Adventure, Romance",7.0,G,1h 39min,Amp Wong,2019
Second Act,"Comedy, Drama, Romance",5.8,PG-13,1h 43min,Peter Segal,2018
The Other Side,"Horror, Mystery & Thriller",5.2,N/A,1h 24min,Oskar Mellander,2020
Exit Plan,"Drama, Mystery & Thriller, Made in Europe",5.1,N/A,1h 30min,Jonas Alexander Arnby,2019
Dashcam,"Horror, Mystery & Thriller, Comedy",4.6,R,1h 20min,Meyirkhan Sherniyazov,2022
Learning to Drive,"Drama, Comedy, Romance, Made in Europe",6.4,R,1h 45min,Isabel Coixet,2014
Plan B,Comedy,6.7,N/A,1h 47min,Natalie Morales,2021
Men & Chicken,"Comedy, Drama, Made in Europe, Science-Fiction",6.7,N/A,1h 44min,Anders Thomas Jensen,2015
Stars Fell on Alabama,"Comedy, Drama, Romance",5.6,PG-13,1h 43min,V.W. Scheich,2021
Second Chance Christmas,"Comedy, Romance, Mystery & Thriller, Drama",5.6,G,1h 27min,Danny Buday,2017
Harmony From The Heart,"Romance, Comedy",6.4,G,1h 25min,Michael Robison,2022
Blood Moon,"Horror, Fantasy",N/A,R,1h 22min,Emma Tammi,2021
Lost Girls & Love Hotels,"Drama, Mystery & Thriller",4.7,R,1h 37min,William Olsson,2020
Babyteeth,"Music & Musical, Romance, Comedy, Drama",7.2,N/A,1h 58min,Shannon Murphy,2020
Ginger's Tale,"Fantasy, Animation, Kids & Family",5.4,N/A,1h 28min,N/A,2021
The Lost Girls,"Drama, Fantasy",2.8,N/A,1h 47min,Livia De Paolis,2022
Enforcement,"Action & Adventure, Crime, Drama, Mystery & Thriller, Made in Europe",6.5,N/A,1h 48min,Anders Ølholm,2020
Girl in the Bunker,Drama,5.8,N/A,1h 28min,Stephen Kemp,2018
Badhaai Ho,"Romance, Drama, Comedy",7.9,N/A,2h 5min,Amit Sharma,2018
The Field Guide to Evil,Horror,4.8,R,1h 57min,Severin Fiala,2018
Farewell Amor,"Romance, Drama, Music & Musical",6.9,N/A,1h 41min,Ekwa Msangi,2020
The Legend of Baron To'a,"Action & Adventure, Comedy",6.4,N/A,1h 43min,Kiel McNaughton,2020
Silent Night,"Mystery & Thriller, Drama",N/A,N/A,1h 34min,Jack O'Donoghue,2020
Bromates,Comedy,4.0,R,1h 38min,Court Crandall,2022
WarHunt,"Mystery & Thriller, Fantasy, Horror, Action & Adventure",4.4,R,1h 33min,Mauro Borrelli,2022
Dakota,"Kids & Family, Action & Adventure",5.4,N/A,1h 36min,Kirk Harris,2022
Monster Family,"Comedy, Kids & Family, Fantasy, Horror, Animation, Made in Europe",4.8,PG,1h 36min,Holger Tappe,2017
The Ogglies,"Animation, Kids & Family, Fantasy",5.2,PG,1h 25min,Jens Møller,2021
Yakuza Princess,"Mystery & Thriller, Crime, Action & Adventure",4.7,R,1h 52min,Vicente Amorim,2021
The Beatles: Eight Days a Week - The Touring Years,"Documentary, Music & Musical, History",7.8,N/A,1h 46min,Ron Howard,2016
The Secrets We Keep,"Mystery & Thriller, Drama, Crime",5.9,R,1h 38min,Yuval Adler,2020
The Painted Bird,"Drama, Mystery & Thriller, Horror, War & Military",7.3,N/A,2h 49min,Václav Marhoul,2019
Bad Milo!,"Horror, Comedy",5.7,R,1h 15min,Jacob Vaughan,2013
Die in a Gunfight,"Drama, Romance, Action & Adventure, Comedy, Crime",4.4,R,1h 32min,Collin Schiffli,2021
Nativity Rocks!,"Kids & Family, Comedy",4.3,N/A,1h 40min,Debbie Isitt,2018
Raiders!: The Story of the Greatest Fan Film Ever Made,Documentary,6.9,N/A,1h 33min,Jeremy Coon,2015
Andy Irons: Kissed by God,Documentary,8.1,N/A,1h 40min,Steve Jones,2018
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,Documentary,6.6,N/A,1h 18min,Sara Driver,2018
The Gospel According to André,Documentary,6.8,PG-13,1h 34min,Kate Novack,2018
Mr. Right,"Romance, Comedy",3.3,N/A,1h 19min,Roger Melvin,2015
Ozzy,"Animation, Kids & Family, Comedy",5.2,G,1h 30min,Nacho La Casa,2016
Multiverse,"Drama, Science-Fiction, Mystery & Thriller",4.5,R,1h 33min,Gaurav Seth,2021
The Secret Scripture,"Drama, Romance, Made in Europe",6.7,PG-13,1h 48min,Jim Sheridan,2017
Around the World in 80 Days,"Kids & Family, Animation, Comedy",4.7,PG,1h 22min,Samuel Tourneux,2021
The Roads Not Taken,Drama,5.2,R,1h 25min,Sally Potter,2020
Mood Indigo,"Drama, Made in Europe, Fantasy, Romance, Comedy",6.5,N/A,2h 11min,Michel Gondry,2013
The Night Stalker,"Mystery & Thriller, Crime, Drama",5.8,N/A,1h 29min,Megan Griffiths,2016
I Am Greta,Documentary,7.5,N/A,1h 37min,Nathan Grossman,2020
The Night,"Mystery & Thriller, Horror",5.5,N/A,1h 45min,Kourosh Ahari,2021
High Ground,"Mystery & Thriller, Action & Adventure, Drama, Western",6.5,N/A,1h 44min,Stephen Johnson,2021
The Trip to Greece,"Comedy, Drama",6.5,PG-13,1h 50min,Michael Winterbottom,2020
Monsters and Men,"Drama, Mystery & Thriller, Crime",6.1,R,1h 36min,Reinaldo Marcus Green,2018
Back to Christmas,"Fantasy, Drama, Romance, Kids & Family",5.6,PG,1h 26min,Tim O'Donnell,2014
Christmas Perfection,"Comedy, Drama, Fantasy, Romance",5.5,N/A,1h 30min,David Jackson,2018
Moby Doc,"Music & Musical, Documentary",6.8,N/A,1h 32min,Rob Gordon Bralver,2021
The Rest of Us,Drama,6.3,N/A,1h 20min,Aisling Chin-Yee,2020
Tyrel,"Drama, Comedy",5.5,N/A,1h 26min,Sebastián Silva,2018
The Princess,"Fantasy, Action & Adventure, Mystery & Thriller, Drama",5.6,R,1h 34min,Lê Văn Kiệt,2022
Tentacles,Horror,N/A,N/A,1h 24min,Clara Aranovich,2021
Sister of the Groom,"Drama, Romance, Comedy",4.6,R,1h 32min,Amy Miller Gross,2020
A Nice Girl Like You,"Comedy, Romance",5.1,R,1h 34min,Chris Riedell,2020
Buddy Games,Comedy,4.8,R,1h 36min,Josh Duhamel,2020
The Dustwalker,"Mystery & Thriller, Horror, Science-Fiction, Drama",3.8,PG-13,1h 32min,Sandra Sciberras,2020
Bad Hair,"Comedy, Horror, Music & Musical",5.6,N/A,1h 42min,Justin Simien,2020
"It's Christmas, Eve","Drama, Music & Musical, Romance",6.5,N/A,1h 30min,Tibor Takács,2018
The Keeping Room,"Western, Drama",6.0,R,1h 35min,Daniel Barber,2014
Borgman,"Drama, Mystery & Thriller, Horror, Made in Europe",6.7,N/A,1h 53min,Alex van Warmerdam,2013
Hurricane Bianca,"Comedy, Drama",5.8,N/A,1h 24min,Matt Kugelman,2016
The Boy Downstairs,"Comedy, Drama, Romance",5.7,PG-13,1h 31min,N/A,2018
The Spruces and the Pines,"Drama, Romance, Comedy, Kids & Family",6.0,N/A,1h 30min,John Stimpson,2017
The Unauthorized Saved by the Bell Story,"Drama, Comedy",4.6,PG,1h 28min,Jason Lapeyre,2014
Odd Man Rush,"Drama, Comedy, Sport",5.4,N/A,1h 25min,Doug Dearth,2020
Miss India America,"Drama, Kids & Family, Comedy",5.4,N/A,1h 35min,Ravi Kapoor,2016
Dead Asleep,"Documentary, Crime",5.7,N/A,1h 22min,Skye Borgman,2021
Christmas with the Andersons,"Comedy, Kids & Family",4.1,PG,1h 30min,Michael Feifer,2016
Money Plane,"Mystery & Thriller, Crime, Action & Adventure, Comedy",3.2,R,1h 22min,Andrew Lawrence,2020
BLACKPINK: The Movie,"Music & Musical, Documentary",6.8,PG,1h 39min,N/A,2021
Shirley,"Drama, Horror, Mystery & Thriller",6.1,R,1h 47min,Josephine Decker,2020
Sex Guaranteed,Comedy,4.9,N/A,1h 21min,Brad Barnes,2017
3 Idiotas,"Kids & Family, Comedy",4.3,PG-13,1h 46min,Carlos Bolado,2017
Dior and I,"Documentary, Made in Europe",7.2,N/A,1h 30min,Frédéric Tcheng,2015
Bayou Caviar,"Mystery & Thriller, Drama, Crime",4.6,N/A,1h 51min,Cuba Gooding Jr.,2018
Compadres,"Action & Adventure, Comedy, Crime",4.8,R,1h 41min,Enrique Begné,2016
El Chicano,"Drama, Mystery & Thriller, Action & Adventure, Crime",5.4,R,2h 28min,Ben Hernandez Bray,2019
The Perfect Weapon,"Science-Fiction, Action & Adventure, Mystery & Thriller, Drama, Made in Europe",2.9,PG-13,1h 28min,Titus Paar,2016
Minor Premise,"Mystery & Thriller, Drama, Science-Fiction, Made in Europe",5.3,N/A,1h 34min,Eric Schultz,2020
The Capote Tapes,Documentary,6.9,N/A,1h 38min,Ebs Burnough,2021
Culture Shock,"Horror, Mystery & Thriller",N/A,N/A,1h 31min,Gigi Saul Guerrero,2019
The Offering,Horror,5.2,R,1h 33min,Oliver Park,2022
Knuckledust,"Action & Adventure, Mystery & Thriller",4.8,N/A,1h 45min,James Kermack,2020
Active Measures,Documentary,7.7,PG-13,1h 52min,Jack Bryan,2018
Pit Stop,"Drama, Romance",6.0,N/A,1h 20min,Yen Tan,2013
A Cops and Robbers Story,Documentary,7.2,N/A,1h 24min,Ilinca Calugareanu,2020
Madagascar: A Little Wild Holiday Goose Chase,"Kids & Family, Animation, Comedy",5.2,G,24min,Chad Van De Keere,2021
Stolen by Their Father,"Drama, Mystery & Thriller",6.5,PG-13,1h 25min,Simone Stock,2022
Mia and Me: The Hero of Centopia,"Kids & Family, Fantasy, Animation",6.3,PG,1h 25min,Adam Gunn,2022
Moonbound,"Comedy, Animation, Action & Adventure, Fantasy, Science-Fiction, Kids & Family",4.8,PG,1h 21min,Ali Samadi Ahadi,2021
Summit Fever,"Mystery & Thriller, Drama",5.1,R,1h 55min,Julian Gilbey,2022
Down,"Horror, Drama, Mystery & Thriller",N/A,R,1h 22min,Daniel Stamm,2019
We Bare Bears: The Movie,"Kids & Family, Comedy, Animation, Action & Adventure, Fantasy",6.7,G,1h 9min,Daniel Chong,2020
Asking For It,"Action & Adventure, Mystery & Thriller, Drama",3.5,R,1h 37min,Eamon O'Rourke,2022
First Love,"Drama, Romance",N/A,N/A,1h 35min,A.J. Edwards,2022
Ip Man: Kung Fu Master,"Drama, Action & Adventure",4.6,N/A,1h 22min,Li Liming,2019
Monster Family 2,"Animation, Kids & Family, Action & Adventure, Fantasy, Science-Fiction, Comedy, Horror",4.8,PG,1h 43min,Holger Tappe,2021
The Doorman,"Mystery & Thriller, Action & Adventure, Drama",4.6,R,1h 37min,Ryûhei Kitamura,2020
Books of Blood,"Horror, Science-Fiction, Drama",5.6,N/A,1h 47min,Brannon Braga,2020
It's a Wonderful Binge,Comedy,4.6,R,1h 39min,Jordan VanDina,2022
Grudge Match,"Comedy, Drama, Sport, Made in Europe",6.4,PG-13,1h 53min,Peter Segal,2013
Marrowbone,"Mystery & Thriller, Horror, Drama, Made in Europe",6.7,R,1h 50min,Sergio G. Sánchez,2017
How to Train Your Dragon: Snoggletog Log,"Animation, Kids & Family",N/A,N/A,28min,Tim Johnson,2019
The Forgiven,Drama,6.0,R,1h 57min,John Michael McDonagh,2022
Phobias,"Horror, Mystery & Thriller",3.6,R,1h 25min,Maritte Lee Go,2021
Dreamcatcher,"Mystery & Thriller, Horror",2.5,N/A,1h 30min,Jacob Johnston,2021
Trust,"Romance, Mystery & Thriller, Drama",5.3,N/A,1h 34min,Brian DeCubellis,2021
Dogtanian and the Three Muskehounds,"Comedy, Romance, Animation, Kids & Family",5.3,N/A,1h 29min,Toni García,2021
Manou the Swift,"Animation, Comedy, Kids & Family, Made in Europe",5.4,G,1h 28min,Andrea Block,2019
Gigi & Nate,"Drama, Kids & Family",6.8,PG-13,1h 54min,N/A,2022
Delia's Gone,"Mystery & Thriller, Drama, Crime",4.8,R,1h 30min,Robert Budreau,2022
Recep İvedik 7,Comedy,5.3,N/A,2h 14min,Togan Gökbakar,2022
Disturbing the Peace,"Action & Adventure, Mystery & Thriller, Western",3.3,R,1h 30min,York Alec Shackleton,2020
Harry & Meghan: Escaping the Palace,Drama,2.4,N/A,1h 27min,Menhaj Huda,2021
Sword Art Online: Extra Edition,"Science-Fiction, Action & Adventure, Animation, Drama, Fantasy, Romance",6.2,N/A,1h 41min,Tomohiko Ito,2014
A la mala,Comedy,6.3,PG-13,1h 39min,Pedro Pablo Ibarra,2015
The Gallows,"Mystery & Thriller, Horror, Science-Fiction",4.2,R,1h 21min,Chris Lofing,2015
Made in Abyss: Wandering Twilight,"Fantasy, Animation, Science-Fiction",7.8,NC-17,1h 50min,Masayuki Kojima,2019
Escaping the Madhouse: The Nellie Bly Story,Mystery & Thriller,6.4,N/A,1h 28min,Karen Moncrieff,2019
The Swing of Things,Comedy,2.9,R,1h 33min,Matt Shapira,2020
Made in Abyss: Journey's Dawn,"Animation, Science-Fiction, Kids & Family, Fantasy",7.4,NC-17,1h 59min,Masayuki Kojima,2019
Settlers,"Science-Fiction, Mystery & Thriller, Drama",4.8,N/A,1h 44min,Wyatt Rockefeller,2021
Treehouse,Horror,N/A,N/A,1h 30min,James Roday Rodriguez,2019
The Whistlers,"Mystery & Thriller, Crime, Drama, Comedy, Made in Europe",6.4,N/A,1h 37min,Corneliu Porumboiu,2019
Spy Cat,"Comedy, Action & Adventure, Animation, Kids & Family",5.5,PG,1h 24min,Wolfgang Lauenstein,2019
Hunter Hunter,"Mystery & Thriller, Horror",N/A,N/A,1h 33min,Shawn Linden,2020
The Man Who Sold His Skin,Drama,6.9,PG-13,1h 44min,Kaouther Ben Hania,2021
A Kind of Murder,"Drama, Mystery & Thriller, Horror, Crime",5.3,R,1h 36min,Andy Goddard,2016
Centigrade,"Mystery & Thriller, Drama",4.4,N/A,1h 29min,Brendan Walsh,2020
A Piece of Cake,"Comedy, Kids & Family, Fantasy, Action & Adventure, Animation, Made in Europe",6.0,PG,1h 18min,Ute von Münchow-Pohl,2020
Vic the Viking and the Magic Sword,"Comedy, Animation, Kids & Family, Action & Adventure, Made in Europe",5.2,N/A,1h 22min,Éric Cazes,2019
Daddy's Perfect Little Girl,"Mystery & Thriller, Drama",5.0,N/A,1h 25min,Curtis Crawford,2021
The Diary of a Teenage Girl,"Drama, Romance, Comedy",6.8,R,1h 39min,Marielle Heller,2015
Tempting Fate,"Drama, Romance",5.5,N/A,1h 27min,Manu Boyer,2019
The Lady in the Van,"Comedy, Drama",6.7,PG-13,1h 44min,Nicholas Hytner,2015
Married by Christmas,"Comedy, Romance",5.5,N/A,1h 27min,Letia Clouston,2016
Pulling Strings,"Comedy, Romance",6.1,PG,1h 51min,Pedro Pablo Ibarra,2013
Flesh & Blood,"Mystery & Thriller, Horror",N/A,N/A,1h 33min,Patrick Lussier,2018
The Right One,"Comedy, Romance",5.2,R,1h 36min,Ken Mok,2021
The Devil Has a Name,"Drama, Mystery & Thriller, Comedy",5.5,R,1h 37min,Edward James Olmos,2020
Pilgrim,Mystery & Thriller,N/A,N/A,1h 20min,Marcus Dunstan,2019
Snakehead,"Mystery & Thriller, Action & Adventure, Crime, Drama",5.2,N/A,1h 37min,Evan Leong,2021
Dr. Bird's Advice for Sad Poets,"Drama, Comedy",6.1,R,1h 49min,Yaniv Raz,2021
Life Partners,"Comedy, Drama, Romance",6.2,R,1h 35min,Susanna Fogel,2014
Every Last Secret,"Mystery & Thriller, Drama",N/A,N/A,1h 33min,N/A,2022
Once Upon a Christmas Miracle,"Drama, Comedy, Romance",7.3,N/A,1h 30min,Gary Yates,2018
Jodi Arias: Dirty Little Secret,"Drama, Romance, Mystery & Thriller",6.2,PG-13,1h 29min,Jace Alexander,2013
Batman & Bill,"Documentary, Animation",8.0,PG-13,1h 33min,Sheena M. Joyce,2017
Naughty & Nice,"Comedy, Romance",5.9,N/A,1h 30min,Sam Irvin,2014
House of Versace,Drama,5.7,N/A,1h 25min,Sara Sugarman,2013
The Secret Lives of College Freshmen,Mystery & Thriller,5.1,N/A,1h 30min,Tony Dean Smith,2021
Changeland,"Comedy, Drama",5.8,R,1h 26min,Seth Green,2019
The Body,Mystery & Thriller,N/A,N/A,1h 23min,Paul Davis,2018
Dangerous Medicine,Mystery & Thriller,N/A,N/A,1h 27min,Jeff Hare,2021
Angels in the Snow,"Drama, Kids & Family",5.6,N/A,1h 30min,George Erschbamer,2015
Dancing Through the Snow,"Kids & Family, Comedy, Romance",5.2,N/A,1h 25min,Paul Shapiro,2021
Good Boy,"Comedy, Horror, Mystery & Thriller",N/A,N/A,1h 29min,Tyler MacIntyre,2020
Skin: A History of Nudity in the Movies,"Documentary, History",6.7,N/A,2h 11min,Danny Wolf,2020
Rabbit Academy: Mission Eggpossible,"Comedy, Kids & Family, Animation",5.4,N/A,1h 15min,Ute von Münchow-Pohl,2022
The Enchanted Christmas Cake,"Romance, Comedy",5.4,G,1h 24min,Robert Vaughn,2021
The Paloni Show! Halloween Special!,"Horror, Animation, Comedy",6.2,N/A,1h 2min,Joel Haver,2022
A Murder to Remember,Mystery & Thriller,4.8,N/A,1h 25min,Robin Givens,2020
The Binge,Comedy,5.2,N/A,1h 38min,Jeremy Garelick,2020
Catering Christmas,"Romance, Comedy",6.8,G,1h 25min,T.W. Peacocke,2022
The Good Father: The Martin MacNeill Story,"Drama, Crime",5.7,PG,1h 24min,Annie Bradley,2021
Pooka Lives!,Horror,N/A,R,1h 20min,Alejandro Brugués,2020
A Wedding Wonderland,Romance,5.1,PG,1h 25min,Jake Helgren,2017
Modern Persuasion,"Comedy, Drama, Romance",4.9,N/A,1h 27min,Alex Appel,2020
Search and Destroy,"Drama, Action & Adventure, Comedy",2.8,N/A,1h 32min,Danny Lerner,2020
Sleeping with Danger,"Mystery & Thriller, Romance",6.1,N/A,1h 28min,David Weaver,2020
Valentina's Wedding,"Comedy, Romance",4.7,R,1h 48min,Marco Polo Constandse,2018
Busco novio para mi mujer,"Comedy, Romance",5.8,PG-13,1h 31min,Enrique Begné,2016
A Sister's Secret,"Mystery & Thriller, Drama",5.3,N/A,1h 25min,D.J. Viola,2018
We the Animals,Drama,6.9,R,1h 30min,Jeremiah Zagar,2018
I'm Glad It's Christmas,"Romance, Kids & Family, Comedy, Drama",6.7,G,1h 25min,N/A,2022
A Christmas Crush,"Comedy, Romance",4.6,N/A,1h 27min,Marita Grabiak,2019
Bad Therapy,"Comedy, Drama, Romance",4.4,N/A,1h 38min,William Teitler,2020
"Nativity 3: Dude, Where's My Donkey?!","Comedy, Kids & Family",3.6,N/A,1h 49min,Debbie Isitt,2014
Mistletoe & Menorahs,"Drama, Comedy, Romance",6.4,N/A,1h 30min,Max McGuire,2019
The First Wave,"Documentary, History, Drama",7.0,R,1h 34min,Matthew Heineman,2021
A Christmas Movie Christmas,"Fantasy, Comedy, Romance",5.6,G,1h 30min,Brian Herzlinger,2019
Christmas Everlasting,"Romance, Drama",6.3,N/A,1h 24min,Ron Oliver,2018
Circle of Deception,"Crime, Drama",5.0,N/A,1h 28min,Ashley Williams,2021
Beaches,Drama,5.2,N/A,1h 30min,Allison Anders,2017
Mistletoe in Montana,"Drama, Romance",5.2,PG,1h 23min,Kellie Martin,2021
Into the Grand Canyon,Documentary,7.2,PG,1h 24min,Peter McBride,2019
Merry & Bright,"Romance, Drama",6.4,N/A,1h 24min,Gary Yates,2019
Remember Me: The Mahalia Jackson Story,"Music & Musical, Drama",6.7,N/A,1h 22min,Denise Dowse,2022
Country Christmas Album,"Drama, Kids & Family, Romance",5.7,N/A,1h 20min,Danny Buday,2018
The Fabulous Filipino Brothers,"Comedy, Romance",6.0,N/A,1h 39min,Dante Basco,2021
A Merry Christmas Wish,Comedy,N/A,G,1h 25min,Bradley Walsh,2022
Crime Story,"Crime, Drama, Mystery & Thriller",4.0,R,1h 38min,Adam Lipsius,2021
Amish Witches: The True Story of Holmes County,Horror,4.5,N/A,1h 37min,Jake Wade Wall,2016
Blast Beat,Drama,5.3,N/A,1h 45min,Esteban Arango,2021
Felix and the Treasure of Morgäa,"Animation, Kids & Family, Fantasy",5.4,PG,1h 25min,Nicola Lemay,2021
The Simone Biles Story: Courage to Soar,"Drama, Sport",6.4,PG,1h 26min,Vanessa Parise,2018
Midnight Kiss,Horror,N/A,N/A,1h 29min,Carter Smith,2019
My Favorite Girlfriend,"Comedy, Romance",3.5,PG-13,1h 33min,Amanda Raymond,2022
Three Ways,Comedy,7.6,R,1h 32min,Jamal Dedeaux,2022
The Christmas Calendar,"Romance, Kids & Family, Comedy",5.9,N/A,1h 23min,Allan Harmon,2017
Charlotte,"Animation, Drama, History, War & Military",6.4,N/A,1h 32min,Tahir Rana,2022
Holiday Date,"Comedy, Drama, Romance",6.4,N/A,1h 24min,Jeff Beesley,2019
Double Holiday,"Drama, Romance",6.8,N/A,1h 24min,Don McBrearty,2019
Deceitful Dating,Drama,5.4,N/A,1h 28min,Nicholas Humphries,2021
A Snow White Christmas,"Drama, Kids & Family, Romance, Comedy",4.9,N/A,1h 27min,Kristin Fairweather,2018
The Obituary of Tunde Johnson,"Drama, Mystery & Thriller",5.7,N/A,1h 44min,Ali LeRoi,2019
The Complex: Lockdown,"Science-Fiction, Mystery & Thriller",4.0,N/A,1h 19min,Paul Raschid,2020
My Santa,"Fantasy, Drama, Kids & Family",5.5,PG,1h 24min,Sam Irvin,2013
A Chance for Christmas,"Fantasy, Comedy, Romance",5.8,N/A,1h 26min,Stefan Brogren,2021
Not Going Quietly,Documentary,7.8,N/A,1h 36min,Nicholas Bruckman,2021
Christmas at the Drive-In,"Comedy, Romance",6.2,G,1h 25min,N/A,2022
The Christmas Candle,"Drama, Kids & Family",6.2,PG,1h 40min,John Stephenson,2013
Menorah in the Middle,"Drama, Mystery & Thriller, Kids & Family, Fantasy, Horror, Romance",4.7,N/A,1h 30min,Jordan Kessler,2022
Color of Love,Drama,N/A,PG,1h 25min,Don McBrearty,2021
Christmas Movie Magic,"Comedy, Drama, Romance",6.2,N/A,1h 24min,Robert Vaughn,2021
Girl in the Shed: The Kidnapping of Abby Hernandez,"Drama, Mystery & Thriller",5.4,PG-13,1h 25min,Jessica Harmon,2022
The Holiday Fix Up,"Comedy, Drama, Romance",6.5,N/A,1h 25min,Brian Herzlinger,2021
A Christmas Winter Song,Drama,6.6,N/A,1h 30min,Camille Brown,2019
Writing Around the Christmas Tree,"Drama, Romance, Comedy",4.9,N/A,1h 29min,Jake Helgren,2021
Holiday in Santa Fe,"Comedy, Drama, Kids & Family, Romance",6.1,N/A,1h 25min,Jody Margolin Hahn,2021
Merry Liddle Christmas Baby,"Drama, Romance, Comedy",6.5,N/A,1h 28min,Kelly Fyffe-Marshall,2021
The Hug,"Horror, Documentary",N/A,PG-13,5min,N/A,2018
Death in Texas,"Drama, Action & Adventure",5.6,N/A,1h 42min,Scott Windhauser,2022
The Clark Sisters: First Ladies of Gospel,Drama,7.4,N/A,1h 48min,Christine Swanson,2020
Kirk Franklin's A Gospel Christmas,"Drama, Romance",6.4,N/A,1h 25min,Erica Sutherlin,2021
Christmas on the Farm,"Romance, Comedy, Drama",5.2,N/A,1h 25min,Christopher Weekes,2021
Saying Yes to Christmas,"Drama, Romance",5.8,N/A,1h 25min,Graeme Campbell,2021
Four Cousins and a Christmas,"Comedy, Drama",3.0,N/A,1h 30min,Maria Capp,2021
Dear Santa,"Documentary, Kids & Family",6.5,N/A,1h 22min,Dana Nachman,2020
Fly Like a Girl,Documentary,7.6,N/A,1h 24min,Katie McEntire Wiatt,2020
