Title,netflix_genre,Imdb,Age_ratings,Runtime,Year,Director
All in My Family,Documentary,N/A,N/A,39min,2019,Hao Wu
The Edge of All We Know,Documentary,6.6,N/A,1h 39min,2021,Peter Galison
Like A Rolling Stone: The Life & Times of Ben Fong-Torres,Documentary,7.3,N/A,1h 42min,2021,Suzanne Joe Kai
Bill Burr Presents: Friends Who Kill,"Comedy, Documentary",4.6,PG-13,1h 13min,2022,Ryan Polito
Loudon Wainwright III: Surviving Twin,"Music & Musical, Documentary",7.2,N/A,1h 31min,2018,Christopher Guest
Brian Regan: On the Rocks,Comedy,6.9,N/A,58min,2021,Troy Miller
The Midnight Sky,"Drama, Science-Fiction, Mystery & Thriller, Fantasy",5.7,PG-13,1h 58min,2020,George Clooney
4K Fireplace,"Kids & Family, Documentary, Romance, Reality TV",7.6,G,1h 0min,2015,N/A
Have You Ever Seen Fireflies?,"Drama, Comedy",6.1,N/A,1h 54min,2021,Andaç Haznedaroğlu
Breaking Boundaries: The Science of Our Planet,Documentary,7.8,N/A,1h 13min,2021,Jon Clay
Rumble: The Indians Who Rocked the World,"Music & Musical, Documentary",7.8,N/A,1h 43min,2017,Catherine Bainbridge
The Noel Diary,"Comedy, Drama, Romance",6.1,PG,1h 39min,2022,Charles Shyer
Ghost in the Shell: SAC_2045 Sustainable War,"Science-Fiction, Animation, Action & Adventure",5.9,R,1h 58min,2021,Michihito Fujii
The Volcano: Rescue from Whakaari,Documentary,7.3,PG-13,1h 37min,2022,Rory Kennedy
Free Rein: The Twelve Neighs of Christmas,"Comedy, Drama, Kids & Family",5.8,N/A,58min,2018,Marek Losey
Kevin Hart's Guide to Black History,Comedy,5.5,PG,1h 3min,2019,Tom Stern
The Mitchells vs. the Machines,"Comedy, Science-Fiction, Animation, Kids & Family",7.6,PG,1h 50min,2021,Michael Rianda
Call the Police,"Comedy, Documentary",3.8,N/A,59min,2022,Johanna Nordström
My Little Pony: A New Generation,"Comedy, Fantasy, Science-Fiction, Action & Adventure, Animation, Kids & Family, Drama",6.8,PG,1h 31min,2021,Robert Cullen
Stars in the Sky: A Hunting Story,Documentary,7.2,N/A,1h 9min,2018,Steven Rinella
Blood Brothers: Malcolm X & Muhammad Ali,"Documentary, History, Sport",6.9,PG-13,1h 35min,2021,Marcus A. Clarke
Me Time,Comedy,5.1,R,1h 44min,2022,John Hamburg
Picture a Scientist,Documentary,N/A,PG-13,1h 37min,2020,Sharon Shattuck
Parchís: the Documentary,"Music & Musical, Documentary",6.8,PG-13,1h 46min,2019,Daniel Arasanz
Blue Miracle,"Drama, Kids & Family",6.6,N/A,1h 35min,2021,Julio Quintana
Blood Will Tell,"Mystery & Thriller, Drama",6.1,N/A,1h 53min,2019,Miguel Cohan
Minions & More Volume 2,"Comedy, Animation, Kids & Family",6.4,G,54min,2022,N/A
Amy Schumer Presents: Parental Advisory,"Comedy, Documentary",4.1,R,57min,2022,Ryan Polito
Good on Paper,"Comedy, Romance",5.6,R,1h 32min,2021,Kim Gatewood
The Irishman,"Drama, Mystery & Thriller, History, Crime",7.8,R,3h 29min,2019,Martin Scorsese
Jack Whitehall: I'm Only Joking,Comedy,6.6,N/A,58min,2020,Freddie Waters
A Kid from Coney Island,"Documentary, Sport",7.0,N/A,1h 29min,2019,Coodie Simmons
The Boy Who Harnessed the Wind,"Drama, History",7.6,N/A,1h 53min,2019,Chiwetel Ejiofor
Tom Papa: What a Day!,Comedy,7.2,R,1h 0min,2022,Gregory Jacobs
Making 1899,Documentary,7.7,R,52min,2022,Andrew Amondson
The Lockdown Plan,,6.5,N/A,49min,2020,N/A
Darlings,"Comedy, Drama, Mystery & Thriller",6.5,N/A,2h 13min,2022,Jasmeet K Reen
"Live Twice, Love Once","Drama, Comedy, Made in Europe",7.2,N/A,1h 41min,2019,María Ripoll
Blind Intersections,Drama,6.7,N/A,1h 27min,2013,Lara Saba
Kangaroo Valley,Documentary,7.2,PG,1h 16min,2022,Kylie Stott
Joe Mande's Award-Winning Comedy Special,"Comedy, Documentary",6.1,N/A,1h 6min,2017,Daniel Gray Longino
Ante... Sundaraniki!,"Comedy, Romance, Kids & Family",7.6,N/A,2h 53min,2022,Vivek Athreya
The Joys and Sorrows of Young Yuguo,Documentary,N/A,PG,28min,2022,Ilinca Calugareanu
Money Trap,"Comedy, Drama",6.0,N/A,2h 1min,2019,Yılmaz Erdoğan
If Beale Street Could Talk,"Drama, Romance, Crime",7.1,R,1h 57min,2018,Barry Jenkins
The Minimalists: Less Is Now,Documentary,5.9,N/A,53min,2021,Matt D'Avella
The Sleepover,"Action & Adventure, Kids & Family, Comedy",5.7,N/A,1h 43min,2020,Trish Sie
Seoul Vibe,"Action & Adventure, Crime, Comedy, Drama",5.5,R,2h 20min,2022,Moon Hyun-sung
Elesin Oba: The King's Horseman,"Drama, History",4.4,N/A,1h 36min,2022,Biyi Bandele
The Secret Diary of an Exchange Student,"Comedy, Romance",5.4,N/A,1h 36min,2021,Bruno Garotti
Tall Girl 2,"Comedy, Drama, Kids & Family, Romance",4.7,N/A,1h 41min,2022,Emily Ting
Michelle Wolf: Joke Show,Comedy,7.2,R,59min,2019,Lance Bangs
Dovlatov,Drama,6.4,PG-13,2h 6min,2018,Aleksey German Jr.
Mandela: Long Walk to Freedom,"Drama, History",7.1,N/A,2h 19min,2013,Justin Chadwick
"Bob Ross: Happy Accidents, Betrayal & Greed",Documentary,6.9,PG-13,1h 33min,2021,Joshua Rofé
Creep,"Horror, Mystery & Thriller",6.3,R,1h 22min,2014,Patrick Brice
Theo Von: Regular People,Comedy,5.2,N/A,1h 1min,2021,Lloyd Stanton
We Can Be Heroes,"Comedy, Drama, Kids & Family, Fantasy, Action & Adventure",4.7,PG,1h 37min,2020,Robert Rodriguez
The Girl on the Train,"Mystery & Thriller, Crime, Drama",4.4,N/A,2h 8min,2021,Ribhu Dasgupta
Level 16,"Mystery & Thriller, Drama, Science-Fiction, Made in Europe",6.1,N/A,1h 42min,2018,Danishka Esterhazy
Love in the Villa,"Comedy, Romance",5.4,N/A,1h 54min,2022,Mark Steven Johnson
Skandal! Bringing Down Wirecard,"Documentary, Crime",7.2,N/A,1h 32min,2022,James Erskine
Take Me,"Comedy, Mystery & Thriller, Crime",6.1,N/A,1h 23min,2017,Pat Healy
Bennett's War,"Drama, Sport",6.0,PG-13,1h 34min,2019,Alex Ranarivelo
Music Teacher,"Drama, Romance",6.2,N/A,1h 41min,2018,Sarthak Dasgupta
Storks,"Comedy, Drama, Animation, Kids & Family, Fantasy",5.8,PG,1h 32min,2016,Doug Sweetland
You vs. Wild: Out Cold,Action & Adventure,5.4,N/A,25min,2021,Ben Simms
Marriage Story,"Drama, Romance, Comedy",7.9,R,2h 16min,2019,Noah Baumbach
Road to Roma,Documentary,7.7,N/A,1h 13min,2020,Gabriel Nuncio
Joy,"Drama, Made in Europe",6.6,N/A,1h 39min,2018,Sudabeh Mortezai
Dear Mother,"Comedy, Drama",5.8,N/A,1h 38min,2021,Laurent Lafitte
MOTHER,Drama,N/A,N/A,2h 7min,2020,Tatsushi Ōmori
White Hot: The Rise & Fall of Abercrombie & Fitch,Documentary,5.7,R,1h 28min,2022,Alison Klayman
Seriously Single,"Comedy, Romance",4.5,N/A,1h 47min,2020,Rethabile Ramaphakela
The Princess Switch 3: Romancing the Star,"Romance, Comedy, Drama, Kids & Family",5.5,PG,1h 46min,2021,Mike Rohl
The Privilege,"Drama, Horror, Science-Fiction, Mystery & Thriller",4.7,N/A,1h 47min,2022,Felix Fuchssteiner
Facing Nolan,"Documentary, Sport",7.9,N/A,1h 45min,2022,Bradley Jackson
Derren Brown: Sacrifice,"Documentary, Reality TV",7.1,N/A,49min,2018,N/A
Asphalt Burning,"Action & Adventure, Comedy, Made in Europe",5.1,N/A,1h 40min,2020,Hallvard Bræin
Gridlocked,Action & Adventure,5.8,R,1h 54min,2016,Allan Ungar
The Block Island Sound,"Horror, Science-Fiction, Mystery & Thriller",5.4,N/A,1h 43min,2021,Kevin McManus
Sooryavanshi,"Mystery & Thriller, Action & Adventure, Crime",6.1,N/A,2h 25min,2021,Rohit Shetty
La Leyenda del Diamante,"Fantasy, Horror, Western, Action & Adventure, Kids & Family, Science-Fiction",3.3,N/A,1h 27min,2018,Roberto Girault
Girl in the Picture,"Documentary, Crime",7.2,R,1h 41min,2022,Skye Borgman
Sergio,"Drama, History, Romance, Documentary",6.2,R,1h 58min,2020,Greg Barker
Love and Leashes,"Comedy, Romance",6.3,R,1h 58min,2022,Park Hyun-jin
Christmas Crossfire,"Comedy, Mystery & Thriller, Crime",4.8,R,1h 46min,2020,Detlev Buck
Last Seen Alive,"Mystery & Thriller, Action & Adventure, Drama",5.6,R,1h 35min,2022,Brian Goodman
Gabriel Iglesias: One Show Fits All,"Comedy, Documentary",7.3,N/A,1h 30min,2019,Manny Rodriguez
Armed to the Teeth,"Documentary, Mystery & Thriller, Crime",7.9,N/A,1h 48min,2018,Alberto Arnaut Estrada
Tom Segura: Completely Normal,"Comedy, Documentary",7.7,N/A,1h 14min,2014,Jay Chapman
Our Father,"Crime, Documentary",6.6,N/A,1h 37min,2022,Lucie Jourdan
Ryan Hamilton: Happy Face,"Comedy, Documentary",7.3,N/A,56min,2017,Marcus Raboy
LiSA Another Great Day,"Documentary, Music & Musical",7.5,N/A,1h 37min,2022,Taketoshi Sado
Woman in Gold,"Drama, Documentary, History",7.3,PG-13,1h 47min,2015,Simon Curtis
Get on Up,"Drama, Music & Musical",6.9,PG-13,2h 18min,2014,Tate Taylor
Little Boxes,"Comedy, Drama",5.9,N/A,1h 24min,2017,N/A
Todd Barry: Spicy Honey,Comedy,6.8,N/A,1h 0min,2017,Jay Chapman
Fortune Feimster: Good Fortune,Comedy,6.7,R,1h 4min,2022,Manny Rodriguez
The Spooky Tale of Captain Underpants Hack-a-Ween,"Action & Adventure, Comedy, Kids & Family, Animation",5.9,N/A,45min,2019,Seung Woo Cha
Jeff Foxworthy: The Good Old Days,"Comedy, Documentary",6.3,N/A,1h 0min,2022,Ryan Polito
Sebastian Maniscalco: Why Would You Do That?,Comedy,7.4,N/A,1h 3min,2016,Joe DeMaio
Russell Brand: Re:Birth,Comedy,6.5,N/A,1h 3min,2018,Chris Howe
Pokemon the Movie: Mewtwo Strikes Back - Evolution,"Animation, Fantasy, Action & Adventure, Kids & Family",5.7,PG,1h 38min,2019,Motonori Sakakibara
There's Someone Inside Your House,"Mystery & Thriller, Horror",4.8,N/A,1h 36min,2021,Patrick Brice
He's All That,"Comedy, Romance",4.4,R,1h 31min,2021,Mark Waters
Jeff Dunham: Beside Himself,Comedy,6.9,N/A,58min,2019,Troy Miller
"Take the Ball, Pass the Ball","Documentary, Sport, Made in Europe",7.9,N/A,1h 55min,2018,Duncan McMath
Incantation,Horror,6.2,N/A,1h 51min,2022,Kevin Ko
ReMastered: The Lion's Share,"Music & Musical, Documentary",6.9,PG-13,1h 24min,2019,Sam Cullman
Looop Lapeta,"Mystery & Thriller, Action & Adventure, Comedy, Crime, Romance",5.2,N/A,2h 11min,2022,Aakash Bhatia
The (Silent) War,"Drama, Mystery & Thriller, War & Military, Action & Adventure, Crime, Made in Europe",5.5,N/A,2h 3min,2019,Alfonso Cortés-Cavanillas
Crazy Beautiful You,"Drama, Comedy, Romance",7.0,N/A,1h 55min,2015,Mae Cruz-Alviar
Gunpowder Milkshake,"Action & Adventure, Crime, Mystery & Thriller, Comedy",6.0,R,1h 54min,2021,Navot Papushado
Fugitive: The Curious Case of Carlos Ghosn,Documentary,6.5,N/A,1h 35min,2022,Lucy Blakstad
Happy New Year,"Comedy, Drama, Music & Musical, Action & Adventure, Crime",4.9,PG-13,3h 0min,2014,Farah Khan
Gabbar Is Back,"Drama, Action & Adventure, Comedy, Crime",7.1,PG-13,2h 10min,2015,Radha Krishna Jagarlamudi
Robin Robin,"Animation, Comedy, Kids & Family",7.2,G,32min,2021,Mikey Please
Guilty,Mystery & Thriller,N/A,N/A,1h 59min,2020,Ruchi Narain
Dancing on Glass,"Drama, Mystery & Thriller",5.6,N/A,2h 17min,2022,Jota Linares
Best of Stand-Up 2022,Comedy,5.6,N/A,1h 16min,2022,N/A
Jack Whitehall: At Large,Comedy,6.9,N/A,1h 7min,2017,Brian Klein
Choked: Paisa Bolta Hai,"Drama, Mystery & Thriller",5.7,N/A,1h 54min,2020,Anurag Kashyap
That's Amor,"Romance, Comedy",5.3,PG-13,1h 36min,2022,Shaun Paul Piccinino
Phil Wang: Philly Philly Wang Wang,Comedy,6.1,N/A,1h 3min,2021,Barbara Wiltshire
Jack Whitehall: Christmas with my Father,"Comedy, Documentary",6.0,N/A,1h 4min,2019,Richard van't Riet
Happy Anniversary,"Romance, Comedy",5.7,N/A,1h 18min,2018,Jared Stern
ReMastered: Tricky Dick & The Man in Black,"Documentary, Music & Musical",7.1,N/A,58min,2018,Barbara Kopple
Ben Platt: Live from Radio City Music Hall,"Documentary, Music & Musical",N/A,N/A,1h 25min,2020,Sam Wrench
The Day I Lost My Shadow,Drama,6.2,N/A,1h 34min,2019,K. Rajagopal
Jimmy Carr: His Dark Material,Comedy,7.1,N/A,59min,2021,Brian Klein
Big Eyes,"Drama, Documentary, Romance, Crime",7.2,PG-13,1h 46min,2014,Tim Burton
Looking For Love,"Romance, Comedy",7.3,N/A,57min,2018,Adze Ugah
Mr. Chandramouli,"Action & Adventure, Comedy, Romance, Sport",5.0,N/A,2h 2min,2018,Thiru
The Last Days of American Crime,"Action & Adventure, Crime, Mystery & Thriller, Drama, Science-Fiction",3.8,N/A,2h 29min,2020,Olivier Megaton
Heartsong,"Comedy, Music & Musical, Romance, Drama",5.8,N/A,1h 35min,2022,Soner Caner
Menendez: The Day of the Lord,"Mystery & Thriller, Drama, Horror",5.0,N/A,1h 33min,2020,Santiago Alvarado
Rodney King,"Drama, Comedy, Documentary, Crime, History",6.1,N/A,52min,2017,Spike Lee
Forever Rich,"Comedy, Drama, Crime, Music & Musical, Mystery & Thriller",5.5,R,1h 29min,2021,Shady El-Hamus
Born Beautiful,Comedy,5.4,N/A,1h 36min,2019,Percival M. Intalan
Taylor Tomlinson: Quarter-Life Crisis,Comedy,7.4,N/A,1h 1min,2020,Marcus Raboy
Pets United,"Animation, Comedy",3.7,N/A,1h 29min,2019,Reinhard Klooss
Dirty Daddy: The Bob Saget Tribute,"Documentary, Comedy",6.6,PG-13,1h 23min,2022,Mike Binder
Collision,"Mystery & Thriller, Crime, Drama",4.1,N/A,1h 39min,2022,Fabien Martorell
Creating The Queen's Gambit,Documentary,6.9,PG-13,14min,2021,N/A
"ariana grande: excuse me, i love you","Music & Musical, Documentary",6.3,N/A,1h 37min,2020,Paul Dugdale
Chelsea Handler: Revolution,Comedy,6.0,R,1h 17min,2022,Jo Koy
10 Minutes Gone,"Action & Adventure, Mystery & Thriller, Crime",3.6,R,1h 36min,2019,Brian A. Miller
K. D.,Drama,8.4,PG,1h 59min,2019,Madhumita
Learn to Swim,"Music & Musical, Romance, Drama",6.1,N/A,1h 33min,2022,Thyrone Tommy
6 Underground,"Comedy, Mystery & Thriller, Action & Adventure",6.1,R,2h 8min,2019,Michael Bay
Biko,"Drama, Kids & Family, Romance",5.6,PG,1h 38min,2022,Teng Bee
D.L. Hughley: Contrarian,Comedy,6.6,N/A,58min,2018,Jay Chapman
I Came By,Mystery & Thriller,6.1,N/A,1h 50min,2022,Babak Anvari
The Last Forest,"Drama, Documentary",7.3,N/A,1h 14min,2021,Luiz Bolognesi
Living in Bondage: Breaking Free,"Drama, Fantasy",5.1,N/A,2h 20min,2019,Ramsey Nouah
Operation Hyacinth,"Crime, Drama, Mystery & Thriller",6.8,N/A,1h 52min,2021,Piotr Domalewski
Ghostland,"Horror, Mystery & Thriller, Drama, Made in Europe",6.4,R,1h 31min,2018,Pascal Laugier
Nobody Knows I'm Here,"Drama, Music & Musical",6.5,N/A,1h 31min,2020,Gaspar Antillo
Disclosure,Documentary,8.2,N/A,1h 47min,2020,Sam Feder
Tom Segura: Ball Hog,Comedy,7.3,N/A,1h 10min,2020,Rami Hachache
The Boss Baby: Christmas Bonus,"Animation, Comedy, Kids & Family",5.2,PG,47min,2022,Matt Engstrom
The Sky Is Pink,"Kids & Family, Drama, Romance",7.6,N/A,2h 23min,2019,Shonali Bose
Adam by Eve: A Live in Animation,"Drama, Animation, Music & Musical",6.1,PG-13,58min,2022,Hibiki Yoshizaki
A Cinderella Story: Christmas Wish,Comedy,5.3,PG,1h 25min,2019,Michelle Johnston
How I Fell in Love with a Gangster,"Crime, Drama",6.0,N/A,2h 59min,2022,Maciej Kawulski
Untold: Caitlyn Jenner,"Documentary, Sport",6.5,R,1h 9min,2021,Crystal Moselle
The Trapped 13: How We Survived The Thai Cave,Documentary,7.5,N/A,1h 42min,2022,Pailin Wedel
Searching for Sheela,"Documentary, Crime",4.3,N/A,58min,2021,Shakun Batra
Last Man Down,"Action & Adventure, Mystery & Thriller, Science-Fiction",3.6,R,1h 27min,2022,Fansu Njie
Belmonte,"Drama, Comedy, Made in Europe",6.1,N/A,1h 15min,2019,Federico Veiroj
Tom Segura: Disgraceful,"Comedy, Documentary",7.5,PG-13,1h 14min,2018,Jay Karas
Chris Rock Total Blackout: The Tamborine Extended Cut,Comedy,7.0,PG-13,1h 37min,2021,N/A
Captain Nova,"Science-Fiction, Kids & Family",5.5,N/A,1h 26min,2021,Maurice Trouwborst
The Chalk Line,"Horror, Mystery & Thriller",6.1,PG-13,1h 46min,2022,Ignacio Tatay
It Takes a Lunatic,"Documentary, Drama",6.6,N/A,2h 6min,2019,Billy Lyons
Gunjan Saxena: The Kargil Girl,"Drama, Action & Adventure, War & Military",5.5,N/A,1h 52min,2020,Sharan Sharma
Funny Boy,Drama,6.5,N/A,1h 49min,2020,Deepa Mehta
Wild Dog,"Mystery & Thriller, Action & Adventure, Crime",6.1,N/A,2h 2min,2021,Ahishor Solomon
Attack on Finland,"Mystery & Thriller, Action & Adventure",5.3,N/A,1h 55min,2021,Aku Louhimies
Close Enemies,"Drama, Mystery & Thriller, Made in Europe",6.4,N/A,1h 51min,2018,David Oelhoffen
Arsenio Hall: Smart and Classy,Comedy,6.0,N/A,1h 3min,2019,Brian Volk-Weiss
Wanda Sykes: Not Normal,Comedy,7.3,N/A,1h 0min,2019,Linda Mendoza
Just Another Christmas,"Comedy, Kids & Family, Drama",6.7,N/A,1h 41min,2020,Roberto Santucci
Residue,Drama,6.5,N/A,1h 30min,2022,Merawi Gerima
Paper Lives,Drama,6.6,N/A,1h 36min,2021,Can Ulkay
Perfect Bid: The Contestant Who Knew Too Much,"Documentary, History",6.5,N/A,1h 12min,2017,C.J. Wallis
Xico's Journey,"Fantasy, Animation, Kids & Family",5.1,N/A,1h 25min,2020,Eric Cabello
Dear Zindagi,"Romance, Drama",7.4,PG-13,2h 29min,2016,Gauri Shinde
Mat Kilau,"Action & Adventure, Drama, History, Mystery & Thriller",5.6,N/A,1h 58min,2022,Syamsul Yusof
Ava,"Mystery & Thriller, Action & Adventure, Drama, Crime",5.4,R,1h 36min,2020,Tate Taylor
Let's Dance,"Music & Musical, Comedy, Drama, Kids & Family",5.9,N/A,1h 49min,2019,Ladislas Chollat
5 Star Christmas,"Comedy, Made in Europe",4.5,N/A,1h 32min,2018,Marco Risi
Green Snake,"Fantasy, Action & Adventure, Animation",6.8,N/A,2h 11min,2021,Amp Wong
D.L. Hughley: Clear,Comedy,6.8,N/A,59min,2014,Jay Chapman
What the F* Is Going On?,Documentary,7.5,N/A,1h 26min,2019,Rosa Marquez
40 Years Young,Comedy,4.4,N/A,1h 21min,2022,Pietro Loprieno
Single Slipper Size - 7,"Mystery & Thriller, Drama",8.4,N/A,2h 0min,2019,R. Parthiban
Def Comedy Jam 25,"Comedy, Documentary",6.6,N/A,1h 21min,2017,Louis J. Horvitz
Plan A Plan B,"Comedy, Romance",4.6,N/A,1h 46min,2021,Shashanka Ghosh
Shawn Mendes: In Wonder,"Documentary, Music & Musical",6.5,N/A,1h 23min,2020,Grant Singer
The Misadventures of Hedi and Cokeman,"Action & Adventure, Crime, Comedy",4.4,N/A,1h 39min,2021,N/A
"Ram Dass, Going Home",Documentary,N/A,PG-13,31min,2017,Derek Peck
Resort to Love,"Romance, Comedy",5.7,PG,1h 41min,2021,Steven K. Tsuchida
Neal Brennan: 3 Mics,"Comedy, Documentary",7.9,N/A,1h 5min,2017,Neal Brennan
Garbage,"Drama, Mystery & Thriller",3.8,N/A,1h 45min,2018,Qaushiq Mukherjee
Nobody Sleeps in the Woods Tonight 2,"Horror, Mystery & Thriller, Comedy",3.8,N/A,1h 37min,2021,Bartosz M. Kowalski
14 Peaks: Nothing Is Impossible,"Documentary, Sport",7.7,N/A,1h 41min,2021,Torquil Jones
Jagame Thandhiram,"Comedy, Action & Adventure, Crime, Drama, Mystery & Thriller",5.8,N/A,2h 38min,2021,Karthik Subbaraj
Still Alice,Drama,7.5,PG-13,1h 40min,2014,Richard Glatzer
Eeb Allay Ooo!,"Drama, Comedy",7.2,N/A,1h 37min,2020,Prateek Vats
The Invisible Thread,"Comedy, Drama, Kids & Family",6.8,N/A,1h 49min,2022,Marco S. Puccioni
The Hall: Honoring the Greats of Stand-Up,Comedy,6.4,N/A,1h 10min,2022,Marty Callner
Glamour Girls,Drama,3.7,N/A,2h 5min,2022,Bunmi Ajakaiye
W. Kamau Bell: Private School Negro,Comedy,6.5,N/A,1h 5min,2018,Shannon Hartman
Mosul,Drama,N/A,N/A,1h 42min,2019,Matthew Michael Carnahan
Audible,Documentary,5.3,N/A,39min,2021,Matthew Ogens
Goyo: The Boy General,"History, Action & Adventure, War & Military",6.7,N/A,2h 35min,2018,Jerrold Tarog
Hajwala 2: Mysterious Mission,"Comedy, Action & Adventure",4.1,PG-13,1h 55min,2018,Hasan Aljaberi
Brother,"Drama, Made in Europe",6.7,N/A,1h 36min,2019,Julien Abraham
Drishyam,"Drama, Mystery & Thriller, Crime",8.2,R,2h 49min,2015,Nishikant Kamat
Grillo vs Grillo,"Comedy, Made in Europe",5.4,N/A,1h 35min,2017,N/A
Fortune Feimster: Sweet & Salty,"Comedy, Drama",6.9,N/A,1h 1min,2020,Linh Duong
A Family,"Drama, Crime",7.0,R,2h 16min,2021,Michihito Fujii
Centauro,"Crime, Mystery & Thriller",N/A,N/A,1h 29min,2022,Daniel Calparsoro
Chris D'Elia: No Pain,Comedy,5.9,N/A,55min,2020,Matt D'Elia
The Beast,"Crime, Drama, Mystery & Thriller, Action & Adventure",5.2,N/A,1h 30min,2020,Ludovico Di Martino
Saakini Daakini,"Comedy, Action & Adventure",6.0,N/A,1h 55min,2022,Sudheer Varma
Hillbilly Elegy,Drama,6.7,R,1h 55min,2020,Ron Howard
Summerland,"Drama, Romance, War & Military",7.0,PG,1h 39min,2020,Jessica Swale
Light in the Dark,"Mystery & Thriller, Drama",5.8,N/A,1h 45min,2020,Ekene Som Mekwunye
The Netflix Afterparty: The Best Shows of The Worst Year,Documentary,N/A,N/A,59min,2020,N/A
Cuties,"Drama, Made in Europe",3.6,NC-17,1h 36min,2020,Maïmouna Doucouré
The Fundamentals of Caring,"Comedy, Drama",7.3,R,1h 33min,2016,Rob Burnett
Mauli,"Drama, Action & Adventure",5.6,N/A,2h 14min,2018,Aditya Sarpotdar
Rock My Heart,"Drama, Made in Europe",6.5,N/A,1h 50min,2017,Hanno Olderdissen
Dynasty Warriors,"Fantasy, Action & Adventure",4.7,PG-13,1h 58min,2021,Roy Chow Hin-Yeung
Ultras,Drama,6.2,N/A,1h 49min,2020,Francesco Lettieri
The Reservoir Game,Documentary,6.0,N/A,1h 40min,2017,Choi Jin-sung
The Main Event,"Comedy, Fantasy, Sport, Action & Adventure, Kids & Family",4.8,N/A,1h 42min,2020,Jay Karas
Dead Kids,"Mystery & Thriller, Drama",5.4,N/A,1h 34min,2019,Mikhail Red
Little Miss Sumo,Documentary,N/A,N/A,18min,2018,Matthew Kay
Ghost Lab,"Science-Fiction, Mystery & Thriller, Horror, Drama",5.2,N/A,1h 57min,2021,Paween Purijitpanya
PNL - Dans la légende tour,"Documentary, Music & Musical",N/A,N/A,18min,2020,N/A
Ivy + Bean,"Kids & Family, Action & Adventure, Comedy",6.0,PG,58min,2022,Elissa Down
The Social Dilemma,"Drama, Documentary",7.6,PG-13,1h 34min,2020,Jeff Orlowski
The Drug King,"Crime, Action & Adventure, Drama",6.2,N/A,2h 19min,2018,Woo Min-ho
The Path of the Anaconda,Documentary,6.7,N/A,1h 13min,2019,Alessandro Angulo
Cosmos Laundromat,"Animation, Fantasy",N/A,N/A,12min,2015,Mathieu Auvray
Night Drive,"Drama, Mystery & Thriller",N/A,N/A,1h 58min,2022,Vysakh
ReMastered: Who Shot the Sheriff,"Documentary, Crime, History, Music & Musical",6.9,N/A,57min,2018,Kief Davidson
Four to Dinner,"Romance, Comedy",6.3,N/A,1h 44min,2022,Alessio Maria Federici
Offering to the Storm,"Mystery & Thriller, Crime, Made in Europe",6.2,N/A,2h 19min,2020,Fernando González Molina
Marlon Wayans: Woke-ish,"Comedy, Documentary",6.5,N/A,1h 8min,2018,Marcus Raboy
The Guilty,"Drama, Mystery & Thriller, Action & Adventure, Crime",6.3,R,1h 30min,2021,Antoine Fuqua
Coming from Insanity,"Comedy, Crime, Drama, Mystery & Thriller",5.2,N/A,1h 40min,2019,N/A
Ready to Mingle,"Comedy, Romance",5.9,N/A,1h 37min,2019,Luis Javier Henaine
The Ritual,"Horror, Mystery & Thriller",6.3,R,1h 34min,2017,David Bruckner
Tiffany Haddish: Black Mitzvah,Comedy,6.3,N/A,55min,2019,Linda Mendoza
365 Days: This Day,"Drama, Romance",2.6,NC-17,1h 51min,2022,Tomasz Mandes
Simon Amstell: Set Free,Comedy,6.5,N/A,51min,2019,Julia Knowles
Entergalactic,"Comedy, Animation, Music & Musical, Romance",7.5,N/A,1h 34min,2022,Fletcher Moules
Violet Evergarden: The Movie,"Drama, Animation, Fantasy, Romance",8.3,PG,2h 20min,2020,Taichi Ishidate
13: The Musical,"Comedy, Drama, Kids & Family",5.2,PG,1h 31min,2022,Tamra Davis
The Starling,"Comedy, Drama, Fantasy",6.3,PG-13,1h 42min,2021,Theodore Melfi
Cat Burglar,Comedy,6.9,PG-13,12min,2022,James Bowman
Jo Koy: Live from Seattle,Comedy,7.3,N/A,1h 3min,2017,Shannon Hartman
Lovefucked,Drama,N/A,N/A,1h 45min,2018,N/A
Christmas on Mistletoe Farm,"Comedy, Kids & Family",4.4,G,1h 44min,2022,Debbie Isitt
Blackout,Mystery & Thriller,N/A,N/A,1h 34min,2022,Sam Macaroni
Autumn Girl,"Romance, Drama, History",5.5,N/A,1h 45min,2021,Katarzyna Klimkiewicz
George Lopez: We'll Do It for Half,Comedy,5.7,N/A,51min,2020,Troy Miller
Birth of the Dragon,"Action & Adventure, Drama",5.6,PG-13,1h 35min,2017,George Nolfi
A Christmas Prince: The Royal Baby,"Kids & Family, Romance",5.4,N/A,1h 25min,2019,John Schultz
Coded Bias,Documentary,6.7,N/A,1h 26min,2020,Shalini Kantayya
GIMS: On the Record,"Music & Musical, Documentary",6.9,N/A,1h 36min,2020,Florent Bodin
Barbra: The Music ... The Mem'ries ... The Magic!,"Music & Musical, Documentary",7.5,N/A,1h 50min,2017,Jim Gable
All Together Now,Drama,6.5,PG,1h 33min,2020,Brett Haley
Tig Notaro: Happy To Be Here,Comedy,6.6,N/A,58min,2018,Tig Notaro
Madame Claude,"Drama, Crime, Romance",5.4,N/A,1h 52min,2021,Sylvie Verheyde
Game Changer,"Comedy, Drama, Romance, Mystery & Thriller, Crime",4.3,N/A,1h 42min,2021,Tiwa Moeithaisong
ReMastered: Devil at the Crossroads,"Music & Musical, Documentary",7.0,N/A,48min,2019,Brian Oakes
